file,kannada,roman
cb9_cc6.ogg,ಹೆ,he
cb9_cc7.ogg,ಹೇ,hee
cb9_cc8.ogg,ಹೈ,hai
cb9_cca.ogg,ಹೊ,ho
cb9_ccb.ogg,ಹೋ,hoo
cb9_ccc.ogg,ಹೌ,hau
cb9_c82.ogg,ಹಂ,ham
cb9_c83.ogg,ಹಃ,hah
cb3_cbe.ogg,ಳಾ,Laa
cb3_cbf.ogg,ಳಿ,Li
cb3_cc0.ogg,ಳೀ,Lii
cb3_cc1.ogg,ಳು,Lu
cb3_cc2.ogg,ಳೂ,Luu
cb3_cc3.ogg,ಳೃ,Lru
cb3_cc6.ogg,ಳೆ,Le
cb3_cc7.ogg,ಳೇ,Lee
cb3_cc8.ogg,ಳೈ,Lai
cb3_cca.ogg,ಳೊ,Lo
cb3_ccb.ogg,ಳೋ,Loo
cb3_ccc.ogg,ಳೌ,Lau
cb3_c82.ogg,ಳಂ,Lam
cb3_c83.ogg,ಳಃ,Lah
cb6_cad_cbe_cb7_ccd.ogg,ಶಭಾಷ್,shabash
c9a_cc6_ca8_ccd_ca8_cbe_c97_cbf_ca6_cc6.ogg,ಚೆನ್ನಾಗಿದೆ,chennagide
